Unnamed: 0,sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
56,3520169,0,2,0,16,28,42,1,5,12,13,2,No,4,0.02,0.07,0,No,No,No,Yes,No,Yes
57,3308208,501,2,380,10164,15464,20064,1916,5211,8646,14144,1606,No,800,0.1,0.17,1,No,No,No,Yes,No,Yes
58,3300297,0,2,0,19,21,21,0,0,0,1,0,No,14,0,0,0,No,No,No,Yes,No,Yes
59,3323214,61,2,7,330,582,841,64,233,482,706,78,No,14,0.33,0.32,0,No,No,No,Yes,No,Yes
60,3473922,67,8,78,2249,3758,5609,461,1882,3495,4720,447,No,232,0.79,0.71,14,No,No,Yes,Yes,No,Yes
61,3466645,31,2,0,294,490,686,43,201,371,544,70,No,21,0.33,0.32,0,No,No,No,Yes,No,Yes
62,3284994,9,8,1,53,68,88,3,26,54,105,17,No,3,0.73,0.7,0,No,No,No,Yes,No,Yes
63,3511973,-1,8,3,636,1078,1554,87,376,851,1304,207,No,13,0.51,0.57,10,No,No,Yes,Yes,No,Yes
64,3315744,15,8,0,488,748,988,85,268,473,765,89,No,40,0.9,0.95,5,No,No,No,Yes,No,Yes
65,3413850,1,8,0,69,90,110,14,47,79,114,11,No,5,0.38,0.38,0,No,No,No,Yes,No,Yes
66,3361022,433,5,18,2556,4518,6300,530,1641,3250,5041,155,No,108,0.75,0.67,0,No,No,No,Yes,No,Yes
67,3497309,49,2,0,468,810,1152,93,340,634,932,104,No,54,0.33,0.32,0,No,No,No,Yes,No,Yes
68,3368961,0,2,0,8,8,8,0,0,0,0,0,No,1,0.64,0.64,0,Yes,No,Yes,Yes,No,Yes
69,3383151,298,2,50,2662,4162,5662,609,1841,3490,5346,387,No,90,0.53,0.44,1,No,No,Yes,Yes,No,Yes
70,3349603,9,8,4,289,426,534,35,137,288,439,54,No,28,0.87,0.9,4,No,No,No,Yes,No,Yes
71,3444342,194,8,0,1386,2160,3078,351,1076,1862,2666,356,No,36,0.75,0.85,0,No,No,No,Yes,No,Yes
72,3368411,0,12,0,3,4,6,0,1,3,3,0,No,1,0.73,0.79,0,No,No,No,Yes,No,Yes
73,3368940,0,4,0,6,9,9,0,0,0,0,0,No,3,0.7,0.66,0,Yes,No,No,Yes,No,Yes
74,3292938,95,8,54,320,440,550,73,165,239,424,89,No,10,0.82,0.81,0,No,No,No,Yes,No,Yes
75,3288994,69,8,18,366,576,828,74,242,484,686,54,No,12,0.78,0.75,0,No,No,No,Yes,No,Yes
76,3439960,-1,8,0,10,14,20,5,9,14,16,1,No,1,0.37,0.34,1,No,No,No,Yes,No,Yes
77,3383825,12,2,0,180,180,360,17,49,111,135,6,No,180,0.73,0.7,0,No,No,No,Yes,No,Yes
78,3504686,5,2,0,19,23,27,6,11,27,39,6,No,3,0.01,0,0,No,No,No,Yes,No,Yes
79,3417565,2,8,0,28,50,68,2,15,34,56,1,No,6,0.52,0.67,0,No,No,No,Yes,No,Yes
80,3346545,0,2,0,24,36,48,5,14,22,31,0,No,12,0.13,0.17,0,No,No,No,Yes,No,Yes
81,3286219,166,2,18,1004,1696,2366,193,628,1319,1981,162,No,39,0.33,0.32,0,No,No,No,Yes,No,Yes
82,3335956,-18,8,61,1785,2610,3510,167,918,1716,2325,301,No,15,0.81,0.84,45,No,No,No,Yes,No,Yes
83,3399852,-5,8,0,28,44,61,0,9,16,21,0,No,8,0.79,0.66,5,No,No,No,Yes,No,Yes
84,3490705,-13,2,0,791,1261,1806,129,644,777,778,87,No,53,0.73,0.7,16,No,No,No,Yes,No,Yes
85,3376808,5,8,0,120,180,240,18,65,119,175,30,No,10,0.94,0.94,1,No,No,No,Yes,No,Yes
86,3354881,32,4,0,311,446,587,14,43,43,43,17,No,4,0.73,0.78,0,No,No,No,Yes,No,Yes
87,3290417,0,2,0,16,17,17,0,0,0,0,0,No,6,0.83,0.6,0,Yes,No,No,Yes,No,Yes
88,3320174,14,12,0,568,971,1397,103,410,869,1219,169,No,38,0.73,0.79,7,No,No,No,Yes,No,Yes
89,3426367,1,8,0,1710,2466,3222,364,1122,1981,2906,424,No,90,0.75,0.85,22,No,No,No,Yes,No,Yes
90,3410843,105,8,0,761,975,1189,140,400,729,1100,136,No,92,0.53,0.44,5,No,No,Yes,Yes,No,Yes
91,3509739,0,2,0,8,8,8,0,0,0,0,0,No,1,0.64,0.64,0,Yes,No,Yes,Yes,No,Yes
92,3399902,0,4,0,4,7,7,0,0,0,0,0,No,2,0.57,0.68,0,No,No,No,Yes,No,Yes
93,3429893,0,12,0,47,79,111,5,22,56,92,0,No,15,0.73,0.79,0,No,No,No,Yes,No,Yes
94,3350868,6,2,0,70,112,196,19,54,176,200,33,No,28,0.95,0.96,0,No,No,No,Yes,No,Yes
95,3377202,44,8,4,216,354,582,45,157,325,475,26,No,12,0.53,0.54,0,No,No,Yes,Yes,No,Yes
96,3516724,786,8,445,14245,21581,28995,2632,6913,14162,20709,3706,No,1282,0.73,0.7,37,No,No,No,Yes,No,Yes
97,3358135,1,8,8,102,130,178,26,63,104,141,9,No,1,0.5,0.46,1,No,No,No,Yes,No,Yes
98,3354719,2,8,0,58,106,160,5,32,66,98,0,No,6,0.9,0.94,0,No,No,No,Yes,No,Yes
99,3463917,730,12,408,1541,2549,3941,895,1906,3267,4133,554,No,5,0.68,0.68,0,No,No,No,Yes,No,Yes
100,3471628,0,2,0,60,60,60,0,0,0,0,2,No,6,1,0.33,0,No,No,No,Yes,No,Yes
101,3448569,9,8,5,112,172,242,13,69,187,246,20,No,7,0.65,0.71,0,No,No,Yes,Yes,No,Yes
102,3414752,117,8,20,800,1450,2200,228,918,1233,1596,179,No,20,0.73,0.7,0,No,No,No,Yes,No,Yes
103,3486290,324,8,1,1817,3509,5013,229,969,2411,3268,356,Yes,131,0.81,0.56,11,No,No,No,Yes,No,Yes
104,3444775,0,12,0,4,4,6,0,1,3,4,1,No,1,0.73,0.79,0,No,No,No,Yes,No,Yes
105,3467456,-20,8,3,271,387,505,64,149,279,477,42,No,12,0.57,0.59,27,No,No,No,Yes,No,Yes
106,3418762,224,8,15,1239,1918,2760,275,949,1702,2445,267,No,46,0.26,0.37,68,No,No,No,Yes,No,Yes
107,3305466,9,2,7,49,89,129,18,47,81,104,0,No,1,0.97,0.95,0,No,No,No,Yes,No,Yes
108,3312704,13,8,0,72,120,174,23,46,87,151,16,No,6,0.5,0.46,0,No,No,No,Yes,No,Yes
109,3384767,0,8,0,31,47,57,3,11,21,30,14,No,1,0,0.33,0,No,No,No,Yes,No,Yes
110,3339819,0,2,0,70,106,106,0,0,0,0,6,No,34,0.88,0.94,0,No,No,No,Yes,No,Yes
111,3456284,-51,8,1,472,744,1016,32,152,369,559,111,No,1,0.16,0.1,56,Yes,No,Yes,Yes,No,Yes
112,3321772,2,2,0,1,1,1,0,3,3,3,0,No,1,0.37,0.34,0,Yes,No,No,Yes,No,Yes
113,3385755,0,,0,166,242,312,28,32,33,34,18,No,2,-99,-99,0,No,No,No,Yes,No,Yes
114,3498789,26,8,1,168,240,328,23,97,176,274,65,No,8,0.15,0.1,0,No,No,No,Yes,No,Yes
115,3426958,111,8,19,1260,1960,2660,257,881,1525,2236,247,No,140,0.02,0.12,0,No,No,No,Yes,No,Yes
116,3427439,0,2,0,348,648,848,0,0,0,0,0,No,123,0.82,0.81,0,Yes,No,Yes,Yes,No,Yes
117,3340738,0,2,0,212,422,642,0,0,0,0,0,No,62,0.19,0.46,0,No,No,No,Yes,No,Yes
118,3502603,97,8,26,271,437,627,54,231,430,655,47,No,10,0.78,0.75,0,No,No,No,Yes,No,Yes
119,3287465,2,2,0,8,14,20,3,6,9,10,1,No,1,0.75,0.43,0,No,No,No,Yes,No,Yes
120,3291513,23,9,0,270,390,470,23,173,273,373,25,No,19,0.85,0.82,2,No,No,No,Yes,No,Yes
121,3352091,0,2,0,23,23,23,0,3,3,3,0,No,3,0.16,0.1,0,No,No,No,Yes,No,Yes
122,3442505,98,,0,554,929,1280,10,10,10,14,94,No,26,-99,-99,0,No,No,No,Yes,No,Yes
123,3347794,0,8,0,22,36,46,0,5,15,27,0,No,1,0.19,0.49,0,No,No,No,Yes,No,Yes
124,3460977,61,8,7,1278,1776,2248,200,515,1035,1913,325,No,127,0.57,0.59,16,No,No,No,Yes,No,Yes
125,3465183,1,2,0,3,5,8,1,3,4,7,0,No,2,0.75,0.54,0,No,No,No,Yes,No,Yes
126,3423094,5,8,0,464,739,1014,74,257,547,824,86,No,50,0.88,0.94,8,No,No,No,Yes,No,Yes
127,3461389,29,8,0,299,395,539,84,213,432,689,58,No,24,0.53,0.54,2,No,No,Yes,Yes,No,Yes
128,3438150,24,2,0,130,200,270,62,185,238,243,19,No,30,0.46,0.68,0,No,No,Yes,Yes,No,Yes
129,3355182,1,2,0,35,65,95,10,29,50,52,0,No,4,-99,0,0,No,No,No,Yes,No,Yes
130,3461296,6,2,0,4,6,8,0,2,3,3,1,No,1,0.98,0.99,0,No,No,No,Yes,No,Yes
131,3475837,232,8,25,1272,2148,3024,213,812,1765,2788,631,No,72,0.22,0.5,0,No,No,No,Yes,No,Yes
132,3415665,117,2,0,347,543,739,110,374,536,771,99,No,55,0.05,0.32,0,No,No,No,Yes,No,Yes
133,3389109,0,12,0,7,8,10,0,2,8,9,0,No,2,0.73,0.79,0,No,No,No,Yes,No,Yes
134,3446419,4,16,0,114,114,114,23,54,123,218,24,No,8,0.31,0.4,0,No,No,No,Yes,No,Yes
135,3430533,1,8,0,96,141,183,16,51,104,138,50,No,5,0.43,0.59,1,No,No,No,Yes,No,Yes
136,3423037,1,8,0,42,70,102,7,25,51,90,0,No,4,0.51,0.31,0,No,No,Yes,Yes,No,Yes
137,3464951,22,8,0,288,504,828,61,246,563,753,57,No,12,0.31,0.2,1,No,No,No,Yes,No,Yes
138,3392911,3,12,0,10,17,24,4,9,17,26,0,No,2,0.73,0.79,0,No,No,No,Yes,No,Yes
139,3294920,-68,8,0,1068,1764,2736,285,996,1906,2603,220,No,12,0.31,0.2,74,No,No,No,Yes,No,Yes
140,3487562,-2,8,0,449,653,857,55,219,401,620,74,No,41,0.02,0.12,6,No,No,Yes,Yes,No,Yes
141,3453267,34,8,0,282,430,578,37,240,467,625,63,No,34,0.79,0.71,0,No,No,No,Yes,No,Yes
142,3317719,1,2,0,4,6,9,2,4,6,10,0,No,1,0.97,0.93,0,No,No,No,Yes,No,Yes
143,3298875,224,2,0,2875,5259,7753,676,2924,5566,6851,364,No,18,0.31,0.34,1,No,No,No,Yes,No,Yes
144,3404101,25,14,50,493,829,1261,136,420,636,850,78,No,14,0.65,0.71,0,No,No,Yes,Yes,No,Yes
145,3336503,9,8,3,41,65,89,2,33,75,106,0,No,1,0.94,0.95,0,No,No,No,Yes,No,Yes
146,3344220,4,8,0,67,98,160,8,36,87,119,0,No,2,0.75,0.54,0,No,No,No,Yes,No,Yes
147,3298711,-75,15,8,540,732,972,70,213,476,724,59,No,30,0.06,0.09,84,No,No,No,Yes,No,Yes
148,3488387,0,8,0,1,1,1,0,1,1,1,0,No,1,0.65,0.71,0,No,No,Yes,Yes,No,Yes
149,3292000,38,8,0,216,324,396,34,118,244,374,53,No,36,0.02,0.12,2,No,No,Yes,Yes,No,Yes
150,3356920,0,8,0,37,43,55,3,10,18,28,0,No,4,0.35,0.36,0,No,No,No,Yes,No,Yes
151,3390250,0,2,0,8,13,18,2,6,9,13,0,No,4,0.13,0.15,0,No,No,No,Yes,No,Yes
152,3469582,0,8,0,141,245,351,27,83,157,220,20,No,5,0.79,0.66,0,No,No,No,Yes,No,Yes
153,3503918,12,8,0,21,21,29,4,12,20,37,36,No,4,0.27,0.53,0,No,No,No,Yes,No,Yes
154,3303732,1,,0,92,172,256,13,42,78,100,0,No,4,-99,-99,0,No,No,Yes,Yes,No,Yes
155,3518724,27,8,2,42,62,84,9,28,56,84,12,No,4,0.18,0.38,0,No,No,Yes,Yes,No,Yes
156,3326185,0,2,0,74,99,124,0,0,0,0,4,No,24,0.7,0.71,0,No,No,Yes,Yes,No,Yes
157,3310687,47,8,25,471,789,1095,107,362,701,1020,97,No,42,0.89,0.91,1,No,No,No,Yes,No,Yes
158,3428048,6,2,0,54,102,150,17,50,91,129,9,No,6,0.58,0.38,0,No,No,Yes,Yes,No,Yes
159,3484438,18,2,0,210,280,420,48,123,240,331,42,No,70,0.46,0.68,2,No,No,No,Yes,No,Yes
160,3292507,0,8,0,13,15,19,1,4,11,21,1,No,2,0.08,0.03,0,No,No,No,Yes,No,Yes
161,3435634,18,2,0,105,161,217,23,105,148,216,13,No,48,0.87,0.83,0,No,No,No,Yes,No,Yes
162,3291917,3,8,0,162,265,367,29,100,207,281,28,No,14,0.73,0.7,6,No,No,No,Yes,No,Yes
163,3420127,4,12,0,491,491,561,43,165,295,484,65,No,38,0.73,0.79,0,No,No,No,Yes,No,Yes
164,3435546,58,8,0,168,336,504,20,138,255,364,21,No,24,0.24,0.4,0,No,No,No,Yes,No,Yes
165,3352629,8,8,21,63,83,83,13,43,59,71,10,No,3,1,0.99,0,No,No,No,Yes,No,Yes
166,3364164,0,2,0,6,9,10,4,8,9,12,3,No,1,0.05,0.32,0,No,No,Yes,Yes,No,Yes
167,3333326,15,20,158,1173,1588,2206,255,1115,1914,2195,303,No,86,0.34,0.48,0,No,No,No,Yes,No,Yes
168,3469206,-20,8,0,240,336,432,61,175,259,414,41,No,48,0.77,0.89,0,No,No,No,Yes,No,Yes
169,3344822,2,12,0,16,27,38,4,10,27,35,0,No,6,0.73,0.79,0,No,No,No,Yes,No,Yes
170,3363742,92,8,0,1782,3213,4698,402,1460,3131,4539,551,No,135,0.75,0.67,0,No,No,No,Yes,No,Yes
171,3348956,92,2,0,1400,2200,3400,356,1734,2918,4039,353,No,100,0.4,0.29,35,No,No,No,Yes,No,Yes
172,3329532,21,8,3,61,85,109,14,38,73,107,72,No,4,0.32,0.54,0,No,No,No,Yes,No,Yes
173,3473690,2,8,3,108,164,211,27,66,142,231,17,No,6,0.79,0.66,0,No,No,No,Yes,No,Yes
174,3329945,6,2,0,76,128,167,21,41,74,119,21,No,16,0.05,0.32,0,No,No,No,Yes,No,Yes
175,3318148,20,8,0,171,256,374,26,97,227,294,49,No,18,0.16,0.1,0,No,No,Yes,Yes,No,Yes
176,3503551,1,8,0,96,144,168,8,33,85,147,12,No,24,0.53,0.54,3,No,No,Yes,Yes,No,Yes
177,3465528,0,2,0,13,13,13,0,0,0,0,0,No,3,1,0.79,0,Yes,No,Yes,Yes,No,Yes
178,3439654,7,2,0,42,84,126,10,21,31,31,0,No,3,0.37,0.34,0,No,No,No,Yes,No,Yes
179,3504018,212,8,144,4364,6432,7928,1001,2987,5329,7657,620,No,1364,0.81,0.84,108,No,No,No,Yes,No,Yes
180,3329968,4,8,0,11,23,33,0,6,14,22,0,No,4,0.48,0.36,0,No,No,No,Yes,No,Yes
181,3469534,62,8,6,463,840,1165,97,327,703,1094,94,No,13,0.33,0.32,0,No,No,No,Yes,No,Yes
182,3389803,94,8,1,524,1021,1544,62,334,753,1040,133,No,25,0.79,0.71,0,No,No,No,Yes,No,Yes
183,3507740,20,8,0,156,216,288,48,127,236,359,73,No,24,0.33,0.32,0,No,No,No,Yes,No,Yes
184,3371306,495,8,286,1601,2441,3281,427,1156,1934,2896,225,No,48,0.73,0.7,16,No,No,No,Yes,No,Yes
185,3341726,0,4,0,41,61,78,0,15,24,41,0,No,1,0.73,0.78,0,No,No,No,Yes,No,Yes
186,3413115,1,8,0,76,105,163,3,16,29,48,1,No,20,0,0,0,No,No,No,Yes,No,Yes
187,3341701,-130,9,0,344,448,476,21,83,121,188,3,No,12,0.85,0.82,131,No,No,No,Yes,No,Yes
188,3363907,2,8,0,37,57,77,4,18,35,48,2,No,16,0.87,0.83,0,No,No,No,Yes,No,Yes
189,3325968,6,8,7,395,669,938,133,332,692,1071,65,No,15,0.79,0.66,9,No,No,No,Yes,No,Yes
190,3382725,545,12,169,2976,5808,8784,970,2756,5488,7289,568,No,48,0.68,0.68,0,No,No,No,Yes,No,Yes
191,3495960,-2,8,1,141,231,318,22,109,211,299,27,No,11,0.73,0.7,11,No,No,No,Yes,No,Yes
192,3368035,0,2,0,3,3,3,1,2,2,2,0,No,1,0.93,0.89,0,No,No,No,Yes,No,Yes
193,3424228,49,5,22,470,806,1158,110,389,763,1103,108,No,32,0.73,0.7,2,No,No,No,Yes,No,Yes
194,3408698,3,10,0,3,3,3,2,3,4,4,1,No,1,0.77,0.84,0,Yes,No,No,Yes,No,Yes
195,3303359,-14,8,86,1803,3198,4638,410,1369,2476,3442,174,No,105,0.5,0.46,26,No,No,No,Yes,No,Yes
196,3493605,0,2,0,26,26,26,4,5,5,5,0,No,18,0.89,0.82,5,Yes,No,Yes,Yes,No,Yes
197,3364591,39,8,0,157,271,385,47,120,204,294,49,No,22,0.83,0.84,0,No,No,No,Yes,No,Yes
198,3485459,12,8,4,420,600,792,86,283,568,839,155,No,24,0.53,0.54,10,No,No,Yes,Yes,No,Yes
199,3448303,53,8,15,161,299,444,35,131,269,369,48,No,14,0.13,0.17,0,No,No,No,Yes,No,Yes
200,3304723,0,2,0,16,34,34,0,2,2,2,2,No,16,0.33,0.32,0,Yes,No,No,Yes,No,Yes
201,3485891,-1203,2,1073,14580,22356,29160,2581,10422,17998,29892,2496,No,3888,0.2,0.46,771,No,No,No,Yes,No,Yes
202,3334936,-19,2,1,531,951,1295,114,513,893,1220,93,No,49,0.74,0.69,28,No,No,No,Yes,No,Yes
203,3327259,-21,2,0,1459,1969,2479,169,625,1109,1565,213,No,182,0.38,0.18,31,No,No,No,Yes,No,Yes
204,3334505,7,8,11,380,634,883,71,303,594,1005,60,No,22,0.18,0.38,0,No,No,No,Yes,No,Yes
205,3297221,0,12,0,8,9,12,0,4,8,13,0,No,1,0.73,0.79,0,No,No,No,Yes,No,Yes
206,3462705,1636,8,396,4035,8192,12453,934,3386,6765,9521,1028,No,353,0.79,0.71,0,No,No,No,Yes,No,Yes
207,3523544,-2,8,0,107,152,206,25,78,129,161,22,No,10,0.77,0.76,4,No,No,Yes,Yes,No,Yes
208,3284955,0,8,0,7,11,15,0,11,11,16,0,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
209,3285071,0,6,0,3,4,5,0,1,2,4,0,No,0,0.79,0.66,0,No,No,No,Yes,No,Yes
210,3285401,0,2,0,1,2,2,1,1,2,2,0,No,0,0.37,0.34,0,No,No,No,Yes,No,Yes
211,3285482,0,2,0,12,12,12,0,0,0,0,0,No,0,-99,-99,0,Yes,No,Yes,Yes,No,Yes
212,3285613,0,8,0,17,17,17,0,1,1,2,0,No,0,0.9,0.9,0,No,No,No,Yes,No,Yes
213,3285834,3,8,0,15,22,29,4,11,23,42,3,No,0,0.36,0.44,0,No,No,No,Yes,No,Yes
214,3285980,10302,2,0,6820,18700,31900,2805,15986,25515,27770,4016,No,0,0.88,0.63,4,No,No,No,Yes,No,Yes
215,3286146,6,8,0,90,134,189,35,104,114,114,13,No,0,0.9,0.92,0,No,No,No,Yes,No,Yes
216,3286149,0,2,0,7,19,29,0,0,0,0,0,No,0,0.87,0.8,0,No,No,No,Yes,No,Yes
217,3286339,25,2,0,0,0,0,15,43,78,103,28,No,0,1,0.95,0,No,No,No,Yes,No,Yes
218,3286551,0,2,1,218,318,318,0,1,1,1,32,No,0,0.89,0.92,0,No,No,No,Yes,No,Yes
219,3286829,0,8,0,7,9,11,12,15,16,19,1,No,0,-99,-99,0,No,No,No,Yes,No,Yes
220,3286910,11,16,0,84,168,228,16,58,131,197,40,No,0,0.66,0.64,3,No,No,No,Yes,No,Yes
221,3287046,0,12,0,11,19,25,3,7,14,18,0,No,0,0.57,0.68,0,No,No,No,Yes,No,Yes
222,3287076,12,2,0,37,57,77,3,18,34,47,0,No,0,0.97,0.98,0,No,No,No,Yes,No,Yes
223,3287272,0,,0,2,4,4,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,Yes
224,3287291,3,8,0,35,55,80,7,29,47,67,0,No,0,0.98,0.99,0,No,No,No,Yes,No,Yes
225,3287446,-126,8,0,720,1020,1368,952,1316,1750,1828,103,No,0,0.41,0.46,127,No,No,No,Yes,No,Yes
226,3287466,0,12,0,6,8,8,8,10,10,11,0,No,0,0.73,0.79,0,No,No,No,Yes,No,Yes
227,3287470,5,2,0,0,0,0,2,4,5,6,0,No,0,0.98,0.56,0,No,No,No,Yes,No,Yes
228,3287479,0,2,0,34,52,52,1,1,1,1,0,No,0,0.9,0.91,1,Yes,No,No,Yes,No,Yes
229,3287499,0,2,0,4,7,8,0,0,0,0,0,No,0,0.96,0.96,0,Yes,No,Yes,Yes,No,Yes
